category,year,n
"Dallas County Medical Center, Fordyce, Arkansas",2011,0.24
"Dallas County Medical Center, Fordyce, Arkansas",2012,0.25
"Dallas County Medical Center, Fordyce, Arkansas",2013,0.26
"Dallas County Medical Center, Fordyce, Arkansas",2014,0.27
"Dallas County Medical Center, Fordyce, Arkansas",2015,0.30
"Dallas County Medical Center, Fordyce, Arkansas",2016,0.33
"Mountain Lakes Medical Center, Clayton, Georgia",2011,0.14
"Mountain Lakes Medical Center, Clayton, Georgia",2012,0.15
"Mountain Lakes Medical Center, Clayton, Georgia",2013,0.16
"Mountain Lakes Medical Center, Clayton, Georgia",2014,0.15
"Mountain Lakes Medical Center, Clayton, Georgia",2015,0.14
"Mountain Lakes Medical Center, Clayton, Georgia",2016,0.68
"Mercy Hospital Columbus, Columbus, Kansas",2012,0.29
"Mercy Hospital Columbus, Columbus, Kansas",2013,0.39
"Mercy Hospital Columbus, Columbus, Kansas",2014,0.44
"Mercy Hospital Columbus, Columbus, Kansas",2015,0.45
"Mercy Hospital Columbus, Columbus, Kansas",2016,0.48
"Mercy Hospital Columbus, Columbus, Kansas",2017,0.41
"Pointe Coupee General Hospital, New Roads, Louisiana",2011,0.23
"Pointe Coupee General Hospital, New Roads, Louisiana",2012,0.23
"Pointe Coupee General Hospital, New Roads, Louisiana",2013,0.31
"Pointe Coupee General Hospital, New Roads, Louisiana",2014,0.31
"Pointe Coupee General Hospital, New Roads, Louisiana",2015,0.32
"Pointe Coupee General Hospital, New Roads, Louisiana",2016,0.31
"I-70 Community Hospital, Sweet Springs, Missouri",2011,0.14
"I-70 Community Hospital, Sweet Springs, Missouri",2012,0.14
"I-70 Community Hospital, Sweet Springs, Missouri",2013,0.14
"I-70 Community Hospital, Sweet Springs, Missouri",2014,0.15
"I-70 Community Hospital, Sweet Springs, Missouri",2015,0.14
"I-70 Community Hospital, Sweet Springs, Missouri",2016,0.15
"I-70 Community Hospital, Sweet Springs, Missouri",2017,0.32
"Clifton-Fine Hospital, Star Lake, New York",2011,0.31
"Clifton-Fine Hospital, Star Lake, New York",2012,0.34
"Clifton-Fine Hospital, Star Lake, New York",2013,0.33
"Clifton-Fine Hospital, Star Lake, New York",2014,0.33
"Clifton-Fine Hospital, Star Lake, New York",2015,0.32
"Clifton-Fine Hospital, Star Lake, New York",2016,0.31
