category,type,year,n
"Dallas County Medical Center, Fordyce, Arkansas",1,2011,0.24
"Dallas County Medical Center, Fordyce, Arkansas",1,2012,0.25
"Dallas County Medical Center, Fordyce, Arkansas",1,2013,0.26
"Dallas County Medical Center, Fordyce, Arkansas",1,2014,0.27
"Dallas County Medical Center, Fordyce, Arkansas",1,2015,0.3
"Dallas County Medical Center, Fordyce, Arkansas",1,2016,0.33
"Mountain Lakes Medical Center, Clayton, Georgia",1,2011,0.14
"Mountain Lakes Medical Center, Clayton, Georgia",1,2012,0.15
"Mountain Lakes Medical Center, Clayton, Georgia",1,2013,0.16
"Mountain Lakes Medical Center, Clayton, Georgia",1,2014,0.15
"Mountain Lakes Medical Center, Clayton, Georgia",1,2015,0.14
"Mountain Lakes Medical Center, Clayton, Georgia",1,2016,0.68
"Mercy Hospital Columbus, Columbus, Kansas",1,2012,0.29
"Mercy Hospital Columbus, Columbus, Kansas",1,2013,0.39
"Mercy Hospital Columbus, Columbus, Kansas",1,2014,0.44
"Mercy Hospital Columbus, Columbus, Kansas",1,2015,0.45
"Mercy Hospital Columbus, Columbus, Kansas",1,2016,0.48
"Mercy Hospital Columbus, Columbus, Kansas",1,2017,0.41
"Pointe Coupee General Hospital, New Roads, Louisiana",1,2011,0.23
"Pointe Coupee General Hospital, New Roads, Louisiana",1,2012,0.23
"Pointe Coupee General Hospital, New Roads, Louisiana",1,2013,0.31
"Pointe Coupee General Hospital, New Roads, Louisiana",1,2014,0.31
"Pointe Coupee General Hospital, New Roads, Louisiana",1,2015,0.32
"Pointe Coupee General Hospital, New Roads, Louisiana",1,2016,0.31
"Cah #6 - I70, Sweet Springs, Missouri",1,2011,0.14
"Cah #6 - I70, Sweet Springs, Missouri",1,2012,0.14
"Cah #6 - I70, Sweet Springs, Missouri",1,2013,0.14
"Cah #6 - I70, Sweet Springs, Missouri",1,2014,0.15
"Cah #6 - I70, Sweet Springs, Missouri",1,2015,0.14
"Cah #6 - I70, Sweet Springs, Missouri",1,2016,0.15
"Cah #6 - I70, Sweet Springs, Missouri",1,2017,0.32
"Clifton-Fine Hospital, Star Lake, New York",1,2011,0.31
"Clifton-Fine Hospital, Star Lake, New York",1,2012,0.34
"Clifton-Fine Hospital, Star Lake, New York",1,2013,0.33
"Clifton-Fine Hospital, Star Lake, New York",1,2014,0.33
"Clifton-Fine Hospital, Star Lake, New York",1,2015,0.32
"Clifton-Fine Hospital, Star Lake, New York",1,2016,0.31
"Moses-Ludington Hospital, Ticonderoga, New York",1,2011,0.32
"Moses-Ludington Hospital, Ticonderoga, New York",1,2012,0.33
"Moses-Ludington Hospital, Ticonderoga, New York",1,2013,0.32
"Moses-Ludington Hospital, Ticonderoga, New York",1,2014,0.32
"Moses-Ludington Hospital, Ticonderoga, New York",1,2015,0.36
"Moses-Ludington Hospital, Ticonderoga, New York",1,2016,0.38
"Cah #1 - Washington, Plymouth, North Carolina",1,2011,0.22
